CÓDIGO,SUBSTITUTOS,NOME,FABRICANTE,EMBALAGEM,PREÇO 38%,MST C/,MUL C/,VAREJO,EM LINHA,COMPRADOR,ECOM,ARRED_MULT,SEGMENTO,CATEGORIA,GRUPO,SUBGRUPO,END. MAPA UNE,END. MAPA UNE.1,ULT. LOCALIZAÇÃO,EM PROMO,INICIO PROMO,FIM PROMO,PREÇO ANTERIOR,DESCONTO,SOLICITAÇÃO DE PREÇO,COMENTÁRIO,VENDA 30D,VALOR EST.,ABC JAN,ABC FEV,ABC MAR,ABC ABR,ABC LOJA 30D,ABC GRUPO 90D,COMPARAÇÃO,RANK GRUPO TOP 100 SEG (30d),2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,mai/24,QDT,FRQ,CM,QDT.1,FRQ.1,CM.1,QDT.2,FRQ.2,CM.2,QDT.3,FRQ.3,CM.3,QDT.4,FRQ.4,CM.4,FREQ ULT. SEM,VND. CONCENTR,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-06 00:00:00,ULTIMA_VENDA,VEND. QTD 30D,M.C,MC REAL,EFEITO CHICOTE (+-20%),EST. CD,ULT. ENT. CD,OC,EC,EST. UNE,ULT. ENT. UNE,EST. UNE DIAS,EST. LV,EST.GON,EST. ILHA,EST. MÁX. LV,LV/MC,STATUS LV,AJUSTE LV,EXPO. MIN,% EST/LV,TOTAL ALTERADO (R$),TRAVA,END. GÔNDO,PP,LT,END. ESTOQUE,ULT. VISTA LVERDE,ULT. ALTERA LVERDE,E.GON ANT.,% ALTER.,USUARIO ALTERAÇÃO,ULT. AUDITORIA PDV,ROTINA,STATUS AUDITORIA,SOLICITAÇÃO,QTD SOL,DATA SOL,STATUS,ULT. ENT UNE,QTD ULT ENTRADA,DIAS EM ATEND.,DATA INVENTÁRIO BI,DIAS INV BI,EAN,PICKLIST,ST PICK,DATA CONFERÊNCIA,QTD VOL,ULT VOL,ROMANEIO SOLICITA,ROMANEIO ENVIO,NOTA ENVIO,S,EMISSAO NOTA,MD12,MD3,MD1,LISTAGEM,LISTAGEM_QUALIDADE,ENDEREÇO LIN CD,ENDEREÇO RESERVA CD
506142,,CABELO ANJO 3MM 1003 DOURADO,1003 COMERCIO,ATA - RL C/10M,8.49,10,0,,SIM,MELISSA ALMEIDA,NÃO,NÃO,ARMARINHO E CONFECÇÃO,BIJUTERIAS,CABOS,SIMPLES,,,,-,-,,0.0,,Informe Aqui,0,0.0,0.0,-,-,-,-,-,-,OK,-,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-08-30 10:49:01,0.0,1,1.0,SIM,0.0,2016-12-28,0,0,0.0,00:00:00,0.0,0,0,0,-,-,LV OFF,,,0.0,,-,ARMARI,12,3,,,,,,,SEM VISTA,,,,,,,,,RECEBIDO,,,72182,0,,00:00:00,0,0,0,0,0,0,00:00:00,1.0,1.0,0.0,11,,,
610403,,MANTA LONITA ARABESCO PRATA,1003 COMERCIO,ATA - PÇ UNI,5.99,20,0,,SIM,MELISSA ALMEIDA,NÃO,NÃO,ARMARINHO E CONFECÇÃO,BIJUTERIAS,STRASS                             ,SIMPLES,,,,-,-,,0.0,,Informe Aqui,0,0.0,0.0,-,-,-,-,-,-,OK,-,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-10-05 17:01:52,0.0,1,1.15,SIM,0.0,2018-09-28,0,0,0.0,00:00:00,0.0,0,0,0,-,-,LV OFF,,,0.0,,-,ARMARI,12,3,,,,,,,2023-10-09 00:00:00,ROTINA QUALIDADE,"3. ESTOQUE ERRADO: FALSO POSITIVO, REALIZAR INVENTÁRIO!",,,,,,,RECEBIDO,,,6712,0,,00:00:00,0,0,0,0,0,0,00:00:00,1.15,0.0,0.0,11,,,
719447,,COPO COLOR CUP 350ML AVIOES PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,79.92,-,-,-,-,-,B,OK,941,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-09-05 16:55:08,0.0,1,2.5,SIM,187.0,2024-03-22,0,0,8.0,2023-08-04 00:00:00,240.0,0,6,0,6,2.4,LV MUITO ALTA,,,1.3333333333333333,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,SEM VISTA,,,,,,,2023-08-04,8.0,RECEBIDO,,,7898647290150,0,,00:00:00,0,0,0,0,0,0,00:00:00,2.5,3.0,2.0,6,,E  03 1014,
719445,,COPO COLOR CUP 350ML DINOSSAURO PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,79.92,-,-,-,-,-,B,OK,1401,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-07-12 13:59:20,0.0,1,2.0,SIM,173.0,2024-03-22,0,0,8.0,2023-05-31 00:00:00,240.0,0,6,0,6,3,LV MUITO ALTA,,,1.3333333333333333,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,2024-05-02 00:00:00,ESTOQUE FINANCEIRO,"1. ESTOQUE CORRETO: OK, APENAS VERIFIQUE A DISPOSIÇÃO DO ITEM NO PDV",,,,,2023-05-31,10.0,RECEBIDO,,,7898647290792,0,,00:00:00,0,0,0,0,0,0,00:00:00,2.0,2.0,0.0,6,,E  03 1014,
719444,,COPO COLOR CUP 350ML FAZENDINHA PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,89.91,-,-,-,-,-,B,OK,1506,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-07-10 18:01:59,0.0,1,1.0,SIM,180.0,2024-03-22,0,0,9.0,2023-05-31 00:00:00,270.0,0,6,0,6,6,LV MUITO ALTA,,,1.5,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,2024-05-02 00:00:00,ESTOQUE FINANCEIRO,"4. ESTOQUE ERRADO: PDV ZERADO, ABASTECER URGENTE!",,,,,2023-05-31,10.0,RECEBIDO,,,7898647291164,0,,00:00:00,0,0,0,0,0,0,00:00:00,1.0,1.0,0.0,6,,E  03 1014,
719446,,COPO COLOR CUP 350ML FESTA JUNINA PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,129.87,-,-,-,-,-,C,OK,3091,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-07-18 15:40:46,0.0,1,2.0,SIM,0.0,2023-05-17,0,0,13.0,2023-05-31 00:00:00,390.0,0,6,0,6,3,LV MUITO ALTA,,,2.1666666666666665,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,15.0,-0.6,GUSTAVO.OLIVEIRA,SEM VISTA,,,,,,,2023-05-31,15.0,RECEBIDO,,,7898647291027,0,,00:00:00,0,0,0,0,0,0,00:00:00,2.0,2.0,0.0,6,,E  03 1014,
719442,,COPO COLOR CUP 350ML SAFARI PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,69.93,-,-,-,-,-,B,OK,1685,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-07-12 13:59:20,0.0,1,3.0,SIM,223.0,2024-03-22,0,0,7.0,2023-05-31 00:00:00,210.0,0,6,0,6,2,LV MUITO ALTA,,,1.1666666666666667,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,2024-05-02 00:00:00,ESTOQUE FINANCEIRO,"4. ESTOQUE ERRADO: PDV ZERADO, ABASTECER URGENTE!",,,,,2023-05-31,10.0,RECEBIDO,,,7898647290143,0,,00:00:00,0,0,0,0,0,0,00:00:00,3.0,3.0,0.0,6,,E  03 1014,
719441,,COPO COLOR CUP 350ML SEREIA PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,79.92,-,-,-,-,-,A,POT A,786,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-09-06 16:52:17,0.0,1,1.4722222222222223,SIM,204.0,2024-03-22,0,0,8.0,2023-08-10 00:00:00,240.0,0,6,0,6,4.0754716981132075,LV MUITO ALTA,,,1.3333333333333333,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,SEM VISTA,,,,,,,2023-08-10,5.0,RECEBIDO,,,7898647290785,0,,00:00:00,0,0,0,0,0,0,00:00:00,1.75,1.6666666666666667,1.0,6,,E  03 1014,
719443,,COPO COLOR CUP 350ML UNICORNIO PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,COPOS                              ,DECORADO,,,,-,-,,0.0,,Informe Aqui,0,0.0,89.91,-,-,-,-,-,A,POT A,756,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2023-09-06 13:10:53,0.0,1,3.0,SIM,228.0,2024-03-22,0,0,9.0,2023-08-04 00:00:00,270.0,0,6,0,6,2,LV MUITO ALTA,,,1.5,,SIM,FESTAS,12,3,E  03 1014,2024-01-22,2024-01-02,10.0,-0.4,GUSTAVO.OLIVEIRA,SEM VISTA,,,,,,,2023-08-04,8.0,RECEBIDO,,,7898647290365,0,,00:00:00,0,0,0,0,0,0,00:00:00,3.0,4.0,2.0,6,,E  03 1014,
715794,MIX PASCOA,COPO COLOR CUP COELHINHOS PINTA E APAGA,3D DESIGN,ATA - IND UNI,9.99,60,0,,SIM,ADRIANO PERUSSE,NÃO,NÃO,FESTAS,LEMBRANCINHAS,SAZONAL/PASCOA,COPO,,,,-,-,,0.0,,Informe Aqui,0,0.0,0.0,-,A,AA,-,-,AA,OK,3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,-,NÃO,0.0,0,0.0,0.0,0.0,0,0.0,2024-03-13 14:09:49,0.0,1,15.0,NEW,0.0,2024-02-10,0,0,0.0,2024-02-19 00:00:00,0.0,0,30,0,30,2,NEW,,,0.0,,SIM,FESTAS,12,3,,,,,,,2024-03-23 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,"2. ESTOQUE CORRETO: PDV ZERADO, ABASTECER URGENTE!",,,,,2024-02-19,30.0,RECEBIDO,2024-03-23,45.0,7898647291171,0,,00:00:00,0,0,0,0,0,0,00:00:00,15.0,0.0,0.0,6,,,
