CÓDIGO,SUBSTITUTOS,NOME,FABRICA,EMBALAGEM,PREÇO 38%,MST C/,MUL C/,CADASTRO PRODUTO,EM LINHA,ECOM,COMPRADOR,SEGMENTO,CATEGORIA,GRUPO,SUBGRUPO,VALOR EST.,ABC GRU 90D,EST. CD,ULT. ENT. CD,EST. UNE,ULT. ENT. UNE,LVERDE,EXPO. MIN,TRAVA,END. ESTOQUE UNE,ULT. AUDITORIA PDV,ROTINA,CLASSE,DATA CRIA LINHAVERDE,SOLICITAÇÃO,QTD SOL,DATA SOL,STATUS,ENDEREÇO LIN CD,ENDEREÇO RESERVA CD,EAN
480178,,ABRIDOR CASA GRANDE 112R.,STARMAKE COM DE MAQ COSTURA IMP EXP LTDA,ATA - UNID      ,4.7492,0,0,2015-03-30,SIM,NÃO,APARECIDA      ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,ABRIDORES                          ,SIMPLES,0.0,0,,2021-10-11 00:00:00,0,,6,,SIM,0,SEM VISTA,,,2021-02-20 07:12:37.270000,,,,,,,
723225,,ABRIDOR GARRAFA MDF 5X15CM R.HFGJ2307 SORTIDO,KIT,ATA - UNID      ,4.991,0,0,2023-07-04,SIM,NÃO,JOAO SALAZAR   ,CASA E DECORAÇÃO,UTILIDADES DOMÉSTICAS,ABRIDORES                          ,SIMPLES,59.891999999999996,C,,2023-09-25 00:00:00,12,,12,,SIM,0,SEM VISTA,,,2023-10-03 18:09:01.850000,,,,,,,
723226,,ABRIDOR GARRAFA MDF 5X15CM R.HFGJ2308 SORTIDO,KIT,ATA - UNID      ,4.991,0,0,2023-07-04,SIM,NÃO,JOAO SALAZAR   ,CASA E DECORAÇÃO,UTILIDADES DOMÉSTICAS,ABRIDORES                          ,SIMPLES,59.891999999999996,C,,2023-09-25 00:00:00,12,,12,,SIM,0,SEM VISTA,,,2023-10-03 18:09:01.787000,,,,,,,
556368,,AC IMPALPAVEL EXTRA FINO ARCOLOR REF.AI1000,ARCOLOR,ATA - UNID      ,12.989,0,0,2017-02-20,SIM,,,FESTAS,CONFEITARIA,AÇÚCAR,CONFEITEIRO,0.0,,,2021-10-19 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
739789,,ACENDEDOR CHURRASQUEIRA MANUAL R.832624,ZEIN IMPORTACAO,ATA - UNID      ,17.9924,0,0,2024-03-14,SIM,NÃO,JOAO SALAZAR   ,CASA E DECORAÇÃO,UTILIDADES DOMÉSTICAS,ACENDEDOR                          ,SIMPLES,107.95439999999999,C,,2024-04-09 00:00:00,6,,6,,SIM,0,SEM VISTA,,,2024-03-14 18:31:40.800000,,,,,,,
599457,,ACESSORIO ANJO ASA 52X48CM YW425 BRANCO,KIT,ATA - UNID      ,29.9894,200,0,2018-04-26,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,AA,,2023-11-24 00:00:00,0,,0,,NÃO,0,2024-03-01 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
599456,,ACESSORIO ANJO ASA 53X42CM YW424 PRETO,KIT,ATA - UNID      ,29.9894,200,0,2018-04-26,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,A,,2023-11-24 00:00:00,0,,0,,NÃO,0,2024-03-01 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
598614,,ACESSORIO ANJO ASA 80X60CM PRETO,KIT,ATA - UNID      ,18.9906,100,0,2018-04-24,SIM,NÃO,NEILOR COMPRAS ,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2020-09-10 00:00:00,0,,0,,NÃO,0,2024-02-09 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
689771,,ACESSORIO ASA ANJO 862-1 BRANCO IRISADO,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2024-01-18 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689774,,ACESSORIO ASA ANJO 862-3 DOURADO,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-13 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689775,,ACESSORIO ASA ANJO 862-4 PRATA,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689772,,ACESSORIO ASA ANJO PRETO IRISADO,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,C,,2024-01-18 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689770,,ACESSORIO ASA ANJO ROSA IRISADO,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,NÃO AGRUPADO,NÃO SUBAGRUPADO,0.0,0,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689773,,ACESSORIO ASA ANJO VERMELHO IRISADO,USINA DE ARTE,ATA - UNID      ,31.899,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,PRODUTOS P/CARNAVAL                ,SIMPLES,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,2024-02-09 00:00:00,COMPRAS INVENTÁRIOS PRÉ-DEFINIDOS,,00:00:00,,,,,,,
689776,,ACESSORIO ASA ARCANJO 863 BRANCO IRISADO,USINA DE ARTE,ATA - UNID      ,51.9002,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,PRODUTOS P/CARNAVAL                ,SIMPLES,0.0,C,,2024-01-18 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689777,,ACESSORIO ASA ARCANJO 863-1 PRETO IRISADO,USINA DE ARTE,ATA - UNID      ,51.9002,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,PRODUTOS P/CARNAVAL                ,SIMPLES,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
689778,,ACESSORIO ASA ARCANJO 863-2 DOURADO,USINA DE ARTE,ATA - UNID      ,51.9002,15,0,2021-12-23,SIM,NÃO,JACKLLINE LOPES,SAZONAIS,CARNAVAL,PRODUTOS P/CARNAVAL                ,SIMPLES,0.0,C,,2023-02-10 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
